Country,Sequence,Passengers,Infected,Pending,Date,Updated,Source,Additional sources
Japan,1,206,4,,1/29,2/2,http://www.rfi.fr/cn/%E6%94%BF%E6%B2%BB/20200202-%E4%B8%80%E8%B4%9F%E8%B4%A3%E6%8E%A5%E5%BE%85%E4%BB%8E%E6%AD%A6%E6%B1%89%E4%B9%98%E5%8C%85%E6%9C%BA%E5%9B%9E%E5%9B%BD%E6%97%A5%E6%9C%AC%E5%AE%98%E5%91%98%E8%87%AA%E6%9D%80,
Japan,2,210,2,,1/30,2/2,http://www.rfi.fr/cn/%E6%94%BF%E6%B2%BB/20200202-%E4%B8%80%E8%B4%9F%E8%B4%A3%E6%8E%A5%E5%BE%85%E4%BB%8E%E6%AD%A6%E6%B1%89%E4%B9%98%E5%8C%85%E6%9C%BA%E5%9B%9E%E5%9B%BD%E6%97%A5%E6%9C%AC%E5%AE%98%E5%91%98%E8%87%AA%E6%9D%80,
Japan,3,149,2,8,1/31,2/2,http://www.rfi.fr/cn/%E6%94%BF%E6%B2%BB/20200202-%E4%B8%80%E8%B4%9F%E8%B4%A3%E6%8E%A5%E5%BE%85%E4%BB%8E%E6%AD%A6%E6%B1%89%E4%B9%98%E5%8C%85%E6%9C%BA%E5%9B%9E%E5%9B%BD%E6%97%A5%E6%9C%AC%E5%AE%98%E5%91%98%E8%87%AA%E6%9D%80,
Korea,1,368,1,0,1/30,2/2,https://www.bloomberg.com/news/articles/2020-01-31/virus-rescue-flight-returns-to-korea-with-18-showing-high-fever,
Canada,?,196,,,,2/1,https://www.scmp.com/news/world/united-states-canada/article/3048506/coronavirus-outbreak-canada-gets-chinas-nod,
US,1,195,,0,1/29,2/2,https://www.nbcnews.com/news/us-news/no-illness-seen-evacuated-u-s-passengers-wuhan-cdc-says-n1125566,
UK,83,,,,1/31,1/31,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200131-%E8%8B%B1%E5%9B%BD%E6%AD%A6%E6%B1%89%E6%92%A4%E4%BE%A8%E5%8C%85%E6%9C%BA%E5%BE%88%E5%A4%9A%E7%A9%BA%E4%BD%8D-%E6%9C%89%E4%BA%BA%E7%A7%B0%E6%B2%A1%E4%BA%A4%E9%80%9A%E8%B5%B6%E4%B8%8D%E5%88%B0%E6%9C%BA%E5%9C%BA,
France,1,216,0,,1/31,2/2,https://www.ft.com/content/96bd61c2-226f-31f4-99fa-02cb85c42bf2,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200203-%E8%A7%86%E9%A2%91%E6%B3%95%E5%9B%BD%E7%AC%AC%E4%BA%8C%E6%89%B9%E6%92%A4%E4%BE%A8%E5%85%A8%E9%83%A8%E9%98%B4%E6%80%A7-%E9%80%81%E6%B5%B7%E8%BE%B9%E5%BC%BA%E5%88%B6%E4%BC%91%E5%81%87
France,2,20,0,,2/1,2/2,http://www.rfi.fr/cn/%E6%B3%95%E5%9B%BD/20200203-%E6%B3%95%E5%9B%BD%E6%9D%BE%E4%B8%80%E5%8F%A3%E6%B0%94-%E7%AC%AC%E4%BA%8C%E6%89%B9%E6%AD%A6%E6%B1%89%E6%92%A4%E4%BE%A8%E6%9C%89%E7%97%87%E7%8A%B6%E8%80%85%E6%A3%80%E6%B5%8B%E9%98%B4%E6%80%A7
German,1,115,2,,1/31,2/3,https://www.dw.com/en/coronavirus-german-evacuation-flight-from-china-carried-two-infected-people/a-52229955,http://www.rfi.fr/cn/20200203-%E5%BE%B7%E5%9B%BD%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E6%82%A3%E8%80%85%E5%A2%9E%E8%87%B310%E8%B5%B7
India,1,324,,,2/1,2/2,https://www.business-standard.com/article/current-affairs/coronavirus-live-updates-china-virus-in-india-coronavirus-symptoms-stock-market-tumbles-travel-ban-120012800475_1.html,
India,2,323,,,2/2,2/2,https://www.business-standard.com/article/current-affairs/coronavirus-live-updates-china-virus-in-india-coronavirus-symptoms-stock-market-tumbles-travel-ban-120012800475_1.html,
Morocco,1,167,,,2/1,2/2,https://6abc.com/5898728/,
Saudi Arabia,1,10,,,2/1,2/2,https://6abc.com/5898728/,
Indonesia,1,241,,,2/2,2/2,https://6abc.com/5898728/,
Turkey,1,42,,,2/1,2/2,https://6abc.com/5898728/,
