Country,Sequence,Passengers,Infected,Pending,Date,Updated,Source,Additional sources
Japan,1,206,3,,1/29,2/2,,
Japan,2,210,2,,1/30,2/2,,
Japan,3,149,,8,1/31,2/2,,
Korea,1,368,1,0,1/30,2/2,https://www.bloomberg.com/news/articles/2020-01-31/virus-rescue-flight-returns-to-korea-with-18-showing-high-fever,
Canada,?,196,,,,2/1,https://www.scmp.com/news/world/united-states-canada/article/3048506/coronavirus-outbreak-canada-gets-chinas-nod,
US,1,195,,0,1/29,2.2,https://www.nbcnews.com/news/us-news/no-illness-seen-evacuated-u-s-passengers-wuhan-cdc-says-n1125566,
UK,?,,,,,,,
France,1,200,,,1/31,1/31,https://www.ft.com/content/96bd61c2-226f-31f4-99fa-02cb85c42bf2,
German,1,115,2,,1/31,2/2,https://www.dw.com/en/coronavirus-german-evacuation-flight-from-china-carried-two-infected-people/a-52229955,
India,1,324,,,2/1,2/2,https://www.business-standard.com/article/current-affairs/coronavirus-live-updates-china-virus-in-india-coronavirus-symptoms-stock-market-tumbles-travel-ban-120012800475_1.html,
India,2,323,,,2/2,2/2,https://www.business-standard.com/article/current-affairs/coronavirus-live-updates-china-virus-in-india-coronavirus-symptoms-stock-market-tumbles-travel-ban-120012800475_1.html,
Morocco,1,167,,,2/1,2/2,https://6abc.com/5898728/,
Saudi Arabia,1,10,,,2/1,2/2,https://6abc.com/5898728/,
Indonesia,1,241,,,2/2,2/2,https://6abc.com/5898728/,
Turkey,1,42,,,2/1,2/2,https://6abc.com/5898728/,
